α,α_observed,μ,n,rep,modified_rf_distance,L,spr_distance,rf_distance
0.8,0.782608695652174,0.044,25,25,0.0,500,0,0.12195121951219512
0.8,0.782608695652174,0.045,25,1,0.0,500,0,0.12195121951219512
0.8,0.5652173913043478,0.045,25,45,0.0,500,0,0.2777777777777778
0.8,0.6086956521739131,0.049,25,14,0.0,500,0,0.24324324324324326
0.8,0.7391304347826086,0.051,25,31,0.1,500,2,0.25
0.8,0.782608695652174,0.051,25,9,0.0,500,0,0.12195121951219512
0.8,0.6956521739130435,0.052,25,11,0.0,500,0,0.1794871794871795
0.8,0.7391304347826086,0.055,25,28,0.0,500,0,0.15
0.8,0.6956521739130435,0.057,25,26,0.0,500,0,0.1794871794871795
0.8,0.6521739130434783,0.05,25,50,0.0,500,0,0.21052631578947367
0.8,0.6956521739130435,0.061,25,6,0.0,500,0,0.1794871794871795
0.8,0.6521739130434783,0.064,25,29,0.07894736842105263,500,1,0.2631578947368421
0.8,0.6086956521739131,0.065,25,8,0.0,500,0,0.24324324324324326
0.8,0.7391304347826086,0.068,25,38,0.0,500,0,0.15
0.8,0.6956521739130435,0.068,25,42,0.0,500,0,0.1794871794871795
0.8,0.8260869565217391,0.069,25,13,0.047619047619047616,500,1,0.14285714285714285
0.8,0.7391304347826086,0.069,25,36,0.0,500,0,0.15
0.8,0.6956521739130435,0.06,25,22,0.05128205128205128,500,1,0.23076923076923078
0.8,0.7391304347826086,0.071,25,32,0.075,500,1,0.2
0.8,0.8260869565217391,0.072,25,39,0.0,500,0,0.09523809523809523
0.8,0.6956521739130435,0.073,25,37,0.0,500,0,0.1794871794871795
0.8,0.6521739130434783,0.074,25,23,0.0,500,0,0.21052631578947367
0.8,0.782608695652174,0.075,25,20,0.0,500,0,0.12195121951219512
0.8,0.7391304347826086,0.076,25,19,0.0,500,0,0.15
0.8,0.782608695652174,0.077,25,43,0.0,500,0,0.12195121951219512
0.8,0.7391304347826086,0.077,25,47,0.0,500,0,0.15
0.8,0.6956521739130435,0.078,25,35,0.0,500,0,0.1794871794871795
0.8,0.782608695652174,0.082,25,12,0.0,500,0,0.12195121951219512
0.8,0.782608695652174,0.082,25,48,0.0,500,0,0.12195121951219512
0.8,0.7391304347826086,0.084,25,15,0.1,500,2,0.25
0.8,0.8260869565217391,0.084,25,17,0.0,500,0,0.09523809523809523
0.8,0.7391304347826086,0.087,25,18,0.05,500,1,0.2
0.8,0.6956521739130435,0.087,25,3,0.15384615384615385,500,2,0.23076923076923078
0.8,0.6521739130434783,0.088,25,27,0.05263157894736842,500,1,0.2631578947368421
0.8,0.782608695652174,0.089,25,30,0.0,500,0,0.12195121951219512
0.8,0.6956521739130435,0.091,25,16,0.1282051282051282,500,2,0.28205128205128205
0.8,0.6521739130434783,0.092,25,49,0.10526315789473684,500,2,0.3157894736842105
0.8,0.782608695652174,0.093,25,40,0.0,500,0,0.12195121951219512
0.8,0.7391304347826086,0.094,25,24,0.0,500,0,0.15
0.8,0.7391304347826086,0.095,25,2,0.0,500,0,0.15
0.8,0.782608695652174,0.098,25,10,0.0,500,0,0.12195121951219512
0.8,0.8260869565217391,0.11,25,34,0.047619047619047616,500,1,0.14285714285714285
0.8,0.6521739130434783,0.11,25,5,0.0,500,0,0.21052631578947367
0.8,0.8260869565217391,0.12,25,21,0.047619047619047616,500,1,0.14285714285714285
0.8,0.782608695652174,0.12,25,4,0.0,500,0,0.12195121951219512
0.8,0.6521739130434783,0.12,25,7,0.0,500,0,0.21052631578947367
0.8,0.6956521739130435,0.13,25,41,0.05128205128205128,500,1,0.23076923076923078
0.8,0.782608695652174,0.17,25,46,0.0,500,0,0.12195121951219512
0.8,0.7391304347826086,0.1,25,33,0.0,500,0,0.15
0.8,0.8260869565217391,0.1,25,44,0.09523809523809523,500,2,0.19047619047619047
